slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
kevm,KEVM,,"[""[Website](https://github.com/runtimeverification/evm-semantics)""]",Tool,"[""Formal Verification"",""Formal Methods"",""K Framework""]",$0,Free,,"It allows developers to write custom tests and work with the underlying semantics of a blockchain environment, such as Cardano's EVM layer, before it is fully launched",FALSE
krebit,Krebit,,"[""[Website](https://hackers.tools/d/krebit)""]",Tool,"[""Decentralized identity"",""Verifiable credentials"",""Web3 reputation systems""]",$0,Free,,It is a reputation scoring platform for digital assets and decentralized finance that allows developers to integrate creditworthiness credentials into their applications,FALSE
laika-ai,Laika AI,,"[""[Website](https://laikalabs.ai/)""]",AI,"[""AI"",""On-chain Data"",""Analytics""]",Custom,Enterprise,,"It offers an enterprise API and a SDK for custom agent development, allowing other developers to integrate its analytics and smart contract auditing features into their own applications",FALSE
maian,Maian,,"[""[Website](https://github.com/ivicanikolicsg/MAIAN)""]",Tool,"[""Smart Contract Vulnerability Detection"",""Ethereum Smart Contracts"",""Blockchain Security Tools"",""Vulnerability Detection""]",$0,Free,Free,It used for static and dynamic analysis to detect security vulnerabilities in Ethereum smart contracts,FALSE
mini-kit,Base,MiniKit,"[""[Docs](https://docs.base.org/mini-apps)"",""[GitHub](https://github.com/coinbase/onchainkit)""]",Tool,"[""React"",""Mini apps"",""Farcaster""]",$0,Free,,Official SDK for building Mini Apps that work seamlessly across Base App and other Farcaster clients,FALSE
mosaia-enterprise,Mosaia,,"[""[Contact](https://calendly.com/cyril-mosaia)""]",AI,"[""Building and deploying AI agents and teams""]",Custom,Enterprise,,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
mosaia-explorer,Mosaia,,"[""[Buy](https://www.mosaia.io/pricing)""]",AI,"[""Building and deploying AI agents and teams""]",$19/mo,Tiered,Explorer,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
mosaia-pro,Mosaia,,"[""[Buy](https://www.mosaia.io/pricing)""]",AI,"[""Building and deploying AI agents and teams""]",$349/mo,Tiered,Pro,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
multicall3,Multicall3,,"[""[Website](https://www.multicall3.com)""]",Tool,"[""Contract Calls"",""Aggregation"",""RPC""]",$0,Free,,It enables the batching of multiple calls to other smart contracts into a single transaction,FALSE
multisender,Multisender,,"[""[Website](https://multisender.app/)""]",Tool,"[""Multisender"",""Multisend"",""Bulk sender"",""Send multiple tokens"",""Batch transactions"",""Token distribution""]",Custom,Enterprise,,It provides a specific function that development teams and project managers use to manage and distribute digital assets efficiently. It operates via the user's own smart wallet but not a wallet provider itself,FALSE
nowpayments,NowPayments,,"[""[Website](https://nowpayments.io/)""]",Finance,"[""API"",""Non-custodial"",""Payments""]",0.5% Fee,Pay-as-you-go,,Non-custodial crypto payment gateway for e-commerce and donations.,FALSE
onmeta,Onmeta,,"[""[Website](https://onmeta.in/)""]",Finance,"[""Web3 infrastructure"",""On/Off-ramp solutions"",""Payment APIs"",""SDK integration""]",Custom,Enterprise,,"It provides developers with fiat-to-crypto i.e on-ramp and crypto-to-fiat i.e off-ramp infrastructure for integrating cryptocurrency buy and sell functionality into Web3 applications, platforms, or wallets",FALSE
orbs-ton-access,Orbs,Orbs TON Access,"[""[Docs](https://docs.orbs.network/v3)""]",Tool,"[""Infrastructure"",""Decentralized""]",$0,Free,,"A decentralized infrastructure layer that provides reliable, unrestricted  access to the TON network via a network of guardian nodes",FALSE
paymaster,Coinbase,,"[""[Docs](https://docs.cdp.coinbase.com/paymaster/introduction/welcome)""]",Tool,"[""Account Abstraction""]",Custom,Enterprise,,Account abstraction endpoints to send transactions and sponsor gas,FALSE
pimlico-account-abstraction,Pimlico,Account Abstraction Infrastructure,"[""[Website](https://www.pimlico.io/)"",""[Docs](https://docs.pimlico.io/guides/conceptual/account-abstraction#how-does-account-abstraction-work)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Bundler"",""Paymaster""]",Custom,Custom,,"ERC-4337 infrastructure with bundler and paymaster tooling for building and operating smart accounts",FALSE
rarible,Rarible,,"[""[Docs](https://docs.rarible.org/docs/introduction)""]",NFT,"[""Rarible SDK"",""Rarible Protocol"",""Multichain SDK"",""NFT API"",""NFT Development""]",Custom,Enterprise,,"It simplifies building NFT applications by providing an abstraction layer over multiple blockchains, allowing developers to easily create, mint, sell, buy, transfer and query NFTs without deep blockchain specifics",FALSE
remix,Remix,,"[""[Docs](https://remix-ide.readthedocs.io/)""]",IDE,"[""IDE"",""Solidity""]",$0,Free,,Open-source online IDE for writing compiling and debugging Ethereum smart contracts,FALSE
reown-enterprise,Reown,,"[""[Website](https://reown.com/)"",""[Docs](https://docs.reown.com/)""]",Tool,"[""Smart Wallets"",""Social Login"",""Paymasters"",""Gas Sponsorship""]",$250+,Enterprise,Enterpeise,"Tools to build user-friendly smart wallets with social login, paymaster configuration for gas fees sponsorship and chain abstraction for seamless UX",FALSE
reown-free,Reown,,"[""[Website](https://reown.com/)"",""[Docs](https://docs.reown.com/)""]",Tool,"[""Smart Wallets"",""Social Login"",""Paymasters"",""Gas Sponsorship""]",$0,Free,,"Tools to build user-friendly smart wallets with social login, paymaster configuration for gas fees sponsorship and chain abstraction for seamless UX",FALSE
reown-pro,Reown,,"[""[Website](https://reown.com/)"",""[Docs](https://docs.reown.com/)""]",Tool,"[""Smart Wallets"",""Social Login"",""Paymasters"",""Gas Sponsorship""]",$89,Tiered,Pro,"Tools to build user-friendly smart wallets with social login, paymaster configuration for gas fees sponsorship and chain abstraction for seamless UX",FALSE
robot-framework-solidity-testing-toolkit,Robot Framework Solidity Testing Toolkit,,"[""[Website](https://github.com/jg8481/Robot-Framework-Solidity-Testing-Toolkit)""]",Tool,"[""Robotframework"",""Solidity"",""Testing"",""Smart-Contracts""]",$0,Free,,"It provides keyword-driven automation for testing, deploying and monitoring Solidity smart contracts on EVM-compatible blockchains",FALSE
rollup-codes,Rollup.codes,,"[""[Website](https://www.rollup.codes/linea)""]",Tool,"[""Ethereum Rollups"",""Analysis"",""Opcodes""]",Custom,Enterprise,,It provides resources and data to help developers building on rollups select the optimal configurations and integrate third-party services,FALSE
rust-ethereum-abi,Rust Ethereum ABI,,"[""[Website](https://github.com/rust-ethereum/ethabi)""]",Tool,"[""Rust Ethereum ABI"",""Ethereum smart contract ABI"",""Encode decode ABI Rust""]",$0,Free,,It provides functionality for encoding and decoding data that allows external applications and other smart contracts written in Rust to interact seamlessly with smart contracts on the Ethereum blockchain and other EVM-compatible networks,FALSE
scaffold-eth,Scaffold ETH,,"[""[Website](https://github.com/scaffold-eth/scaffold-eth-2)""]",Tool,"[""dApp development"",""Ethereum development"",""Smart contract development""]",$0,Free,,"It streamlines the complex development process by providing a pre-configured template that integrates a local blockchain environment, smart contract development tools, and a dynamic frontend",FALSE
sign-protocol,Sign Protocol,,"[""[Docs](https://docs.ethsign.xyz/)""]",Tool,"[""Blockchain signature tools"",""Smart contracts"",""Web3 identity/attestation""]",Custom,Enterprise,,"It offers a suite of tools and APIs for integrating blockchain-based, legally compliant document signing and data verification functionalities into other Web3 applications",FALSE
smartmuv,SmartMuv,,"[""[Website](https://smartmuv.app/)""]",Tool,"[""Smart contract analysis"",""Blockchain data extraction"",""Web3 development tools""]",Custom,Enterprise,,"It facilitate solidity smart contract analysis, deep storage data extraction, and migration",FALSE
sprintcheckout,Sprintcheckout,,"[""[Website](https://sprintcheckout.com/)""]",Tool,"[""Crypto payment gateway"",""Web3 payment tools"",""Blockchain payment solution""]",Custom,Enterprise,,"It provides the infrastructure and tools for developers to seamlessly incorporate modern, low-cost, and user-friendly crypto payment options into their projects",FALSE
stackup-enterprise,Stackup,,"[""[Contact](https://www.stackup.fi/contact)"",""[Docs](https://docs.stackup.fi/)""]",Finance,"[""Account Abstraction"",""Wallet""]",Custom,Enterprise,, It provides smart account tooling for building account abstraction within your apps. They offer Paymaster and Bundler APIs for sponsoring gas and sending account abstraction transactions,FALSE
stackup-free,Stackup,,"[""[Website](https://www.stackup.fi/)"",""[Docs](https://docs.stackup.fi/)""]",Finance,"[""Account Abstraction"",""Wallet""]",$0,Free,,Provides smart account tooling for building account abstraction within your apps. They offer Paymaster and Bundler APIs for sponsoring gas and sending account abstraction transactions,FALSE
stackup-pro,Stackup,,"[""[Buy](https://www.stackup.fi/pricing)"",""[Docs](https://docs.stackup.fi/)""]",Finance,"[""Account Abstraction"",""Wallet""]",$500/mo,Tiered,Pro,Provides smart account tooling for building account abstraction within your apps. They offer Paymaster and Bundler APIs for sponsoring gas and sending account abstraction transactions,FALSE
sublime-ethereum,Sublime-Ethereum,,"[""[Website](https://github.com/davidhq/SublimeEthereum)""]",Tool,"[""Solidity""]",Custom,Enterprise,,"It provides developers with a specialized, efficient interface for building decentralized applications and smart contracts on the blockchain",FALSE
swaps,Swaps,,"[""[Website](https://www.swaps.xyz/)"",""[Docs](https://docs.swaps.xyz/)""]",Tool,"[""Blockchain development"",""Decentralized applications"",""Crypto payment gateway""]",Custom,Enterprise,,"It abstracts the complexities of blockchain interactions, allowing developers to integrate diverse on-chain crypto experiences into their applications more easily",FALSE
tally,Tally,,"[""[Website](https://www.tally.xyz/)""]",Finance,"[""Decentralized Autonomous Organizations"",""Web3 & Blockchain"",""Governance & Voting""]",Custom,Enterprise,,"It provides web3 infrastructure and developer tools for building, managing, and integrating on-chain governance and decentralized autonomous organizations",FALSE
tenderly-sandbox,Tenderly,,"[""[Docs](https://docs.tenderly.co/virtual-environments/overview)""]",IDE,"[""Smart Contract Development"", ""Solidity IDE"", ""In-browser Editor"", ""Transaction Debugging""]",Custom,Enterprise,,"It is a browser-based integrated development environment (IDE) for smart contracts that allows developers to write, test and debug Solidity code instantly without any local setup",FALSE
thirdweb-aa,Thirdweb,,"[""[Docs](https://portal.thirdweb.com/engine/v2/features/account-abstraction)""]",Tool,"[""SDK""]",Custom,Enterprise,,Comprehensive solution for smart accounts with paymaster and sponsored transactions,FALSE
thirdweb-pay,Thirdweb,,"[""[Docs](https://portal.thirdweb.com/pay)""]",Tool,"[""SDK""]",Custom,Enterprise,,Fiat and cross-chain crypto payments with gas fee abstraction,FALSE
ton-lite-client,TON Lite Client,,"[""[Website](https://github.com/ton-core/ton-lite-client)""]",Tool,"[""Node"",""Infrastructure"",""Lite Client""]",$0,Free,,"The official lightweight client for interacting directly with the TON blockchain, forming the underlying protocol used by most TON RPC and API providers",FALSE
ton-sandbox,Ton Sandbox,,"[""[Website](https://github.com/ton-org/sandbox)""]",Testing and debugging,"[""Local Blockchain"",""Testing"",""Debug""]",$0,Free,,A tool that allows developers to run a local instance of the TON blockchain for rapid smart contract testing and debugging,FALSE
toncli,TON CLI,,"[""[Website](https://github.com/disintar/toncli)""]",CLI,"[""Smart Contracts"",""FunC"",""CLI"",""Deployment""]",$0,Free,,"A command-line interface for compiling, testing, and deploying FunC smart contracts on the TON blockchain, commonly used in low-level TON development workflows",FALSE
type-chain,TypeChain,,"[""[Website](https://github.com/dethcrypto/TypeChain)""]",Tool,"[""TypeScript"",""Smart Contracts"",""Code Generation"",""Type Safety"",""dApp Development""]",$0,Free,,"It provides TypeScript bindings for Ethereum smart contracts, generating a type-safe API for interacting with them in decentralized applications",FALSE
univoucher,UniVoucher,,"[""[Docs](https://docs.univoucher.com/)""]",Tool,"[""Gift card"",""Payment gateway"",""Wallet integration""]",Custom,Enterprise,,"It offers an API and documentation that allow developers to integrate the functionality of creating and managing decentralized, tangible crypto gift cards into their own applications",FALSE
unlock-protocol,Unlock Protocol,,"[""[Website](https://unlock-protocol.com/)""]",NFT,"[""Membership"",""NFT"",""Subscriptions"",""Smart Contracts""]",Custom,Pay-as-you-go,Subscription,"Open source smart contracts built for memberships and subscriptions NFTs including time-bound and recurring features, used for token gating and membership management",FALSE
zero-dev-developer,ZeroDev,,"[""[Docs](https://docs.zerodev.app/)""]",Tool,"[""Account Abstraction"",""Programmable Wallet"",""UI""]",$0,Free,Developer,It provides a software development kit for developers to build user-friendly applications and smart wallets with advanced features,FALSE
zero-dev-enterprise,ZeroDev,,"[""[Docs](https://docs.zerodev.app/)""]",Tool,"[""Account Abstraction"",""Programmable Wallet"",""UI""]",Custom,Enterprise,,It provides a software development kit for developers to build user-friendly applications and smart wallets with advanced features,FALSE
zero-dev-growth,ZeroDev,,"[""[Docs](https://docs.zerodev.app/)""]",Tool,"[""Account Abstraction"",""Programmable Wallet"",""UI""]",$69/mo,Tiered,Growth,It provides a software development kit for developers to build user-friendly applications and smart wallets with advanced features,FALSE
zero-dev-scale,ZeroDev,,"[""[Docs](https://docs.zerodev.app/)""]",Tool,"[""Account Abstraction"",""Programmable Wallet"",""UI""]",$399/mo,Tiered,Scale,It provides a software development kit for developers to build user-friendly applications and smart wallets with advanced features,FALSE
